time,uid,antname,padname,statnum,poserrX,poserrY,poserrZ,poserr()X,poserr()Y,poserr()Z,newposX,newposY,newposZ,geoerrX,geoerrY,geoerrZ,geoposX,geoposY,geoposZ,delayrms
5131848671952000000,uid___A002_Xed4607_X13266,DV07,A011,Station_29,-0.000398,-0.00016299999999999998,-0.000156,5.6999999999999996e-05,0.00010400000000000001,0.00023999999999999998,7.8e-05,-0.000536,6.9998309999999995,-0.00044699999999999997,4.1e-05,-9e-05,2225130.3677209998,-5440025.149959,-2481695.420672,0.51
5131925433984000000,uid___A002_Xed8123_X1b10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5132143143312000000,uid___A002_Xed9025_X637c,DV07,A126,Station_23,-0.00023199999999999997,3.8e-05,0.0015019999999999999,5.7999999999999994e-05,0.000131,0.000367,0.000244,-0.000335,7.001489,0.000315,-0.001382,-0.00055,2226183.566855,-5439420.134082,-2482000.697541,0.64
5132203505472000000,uid___A002_Xed9025_X9c7d,DV07,A126,Station_27,-0.000106,0.00017900000000000001,0.001379,3.5e-05,3.1e-05,0.00011999999999999999,0.00037,-0.000194,7.001366,0.00040899999999999997,-0.00128,-0.000371,2226183.566949,-5439420.134082,-2482000.697541,0.21
5132249410896000000,uid___A002_Xed9025_Xad36,DV07,A126,Station_25,7.3e-05,0.000471,0.001219,5.4000000000000005e-05,6.7e-05,0.00045099999999999996,0.000549,9.8e-05,7.001206,0.000562,-0.001181,-4.1e-05,2226183.567102,-5439420.134082,-2482000.697541,0.57
5132305246032000000,uid___A002_Xed9025_Xe99c,DV07,A126,Station_21,-0.00043799999999999997,0.000246,0.003543,6.2e-05,3.2e-05,0.000263,3.8e-05,-0.000127,7.0035300000000005,0.000867,-0.003275,-0.001151,2226183.567407,-5439420.134082,-2482000.697541,0.35
5132333981904000000,uid___A002_Xedbc85_X54a,DV07,A126,Station_26,0.000343,-0.000139,0.0021219999999999998,6.1e-05,5.5e-05,0.000334,0.000819,-0.000512,7.002109,0.001037,-0.0016300000000000002,-0.0009539999999999999,2226183.5675770002,-5439420.134082,-2482000.697541,0.48
5132390259408000000,uid___A002_Xedbc85_X451e,DV07,A126,Station_21,-0.00025699999999999996,0.00040300000000000004,0.001463,0.00021600000000000002,0.000155,0.000932,0.00021899999999999998,2.9999999999999997e-05,7.00145,0.000332,-0.00149,-0.000198,2226183.566872,-5439420.134082,-2482000.697541,1.49
5132401964928000000,uid___A002_Xedbc85_X4f15,DV07,A126,Station_21,-0.000258,0.000359,0.002222,6.3e-05,0.000125,0.000319,0.000218,-1.4000000000000001e-05,7.002209,0.000589,-0.002121,-0.000534,2226183.567129,-5439420.134082,-2482000.697541,0.65
5132420235120000000,uid___A002_Xedbc85_X6057,DV07,A126,Station_26,-0.00073,0.000381,0.001468,2.8999999999999997e-05,2.6000000000000002e-05,0.000149,-0.000254,8e-06,7.001455,-0.00010700000000000001,-0.0016649999999999998,-0.00022,2226183.5664330004,-5439420.134082,-2482000.697541,0.23
5132443327248000000,uid___A002_Xedbc85_X7b8f,DV07,A126,Station_25,-0.00011200000000000001,-1e-06,0.002045,4.5e-05,5.3e-05,0.000401,0.000364,-0.00037400000000000004,7.002032000000001,0.00061,-0.0017850000000000001,-0.000797,2226183.56715,-5439420.134082,-2482000.697541,0.39
5132460615456000000,uid___A002_Xedbc85_X9082,DV07,A126,Station_25,-0.000174,0.000404,0.002445,2.1e-05,2.5e-05,9.300000000000001e-05,0.000302,3.1e-05,7.002432000000001,0.0007509999999999999,-0.0022949999999999997,-0.000579,2226183.567291,-5439420.134082,-2482000.697541,0.16
