time,geoposX,geoposY,geoposZ,pressure,relHum,temp,windDir,windSpeed,windMax
5131848671952000000,2202176.215,-5445210.627,-2485352.924,0.0,0.0,273.15000000000003,5.659853431467326,5.3857142925262425,5.3857142925262425
5131925433984000000,2202176.215,-5445210.627,-2485352.924,0.0,0.0,273.15000000000003,5.308294253565611,4.171428510120943,4.171428510120943
5132143143312000000,2202176.215,-5445210.627,-2485352.924,0.0,0.0,273.15000000000003,4.45308292008839,8.257143020629899,8.257143020629899
5132203505472000000,2202176.215,-5445210.627,-2485352.924,0.0,0.0,273.15000000000003,5.103841398331989,5.042857101985387,5.042857101985387
5132249410896000000,2202176.215,-5445210.627,-2485352.924,0.0,0.0,273.15000000000003,5.405534026176723,3.7571428503309146,3.7571428503309146
5132305246032000000,2202176.215,-5445210.627,-2485352.924,0.0,0.0,273.15000000000003,5.058961503280706,11.90000016348714,11.90000016348714
5132333981904000000,2202176.215,-5445210.627,-2485352.924,0.0,0.0,273.15000000000003,4.517909435162465,5.971428530556813,5.971428530556813
5132390259408000000,2202176.215,-5445210.627,-2485352.924,0.0,0.0,273.15000000000003,2.2913679751182694,1.5428571530750712,1.5428571530750712
5132401964928000000,2202176.215,-5445210.627,-2485352.924,0.0,0.0,273.15000000000003,5.243467738491536,5.685714244842528,5.685714244842528
5132420235120000000,2202176.215,-5445210.627,-2485352.924,0.0,0.0,273.15000000000003,6.038839211900381,2.114285724503643,2.114285724503643
5132443327248000000,2202176.215,-5445210.627,-2485352.924,0.0,0.0,273.15000000000003,4.901881870601216,3.9999999318804154,3.9999999318804154
5132460615456000000,2202176.215,-5445210.627,-2485352.924,0.0,0.0,273.15000000000003,5.313280908571309,3.857142857142872,3.857142857142872
5132476354992000000,2202176.215,-5445210.627,-2485352.924,0.0,0.0,273.15000000000003,4.9392817831439535,6.6285715103149565,6.6285715103149565
5132494331760000000,2202176.215,-5445210.627,-2485352.924,0.0,0.0,273.15000000000003,5.021561590737972,7.4857142312185845,7.4857142312185845
5132511239040000000,2202176.215,-5445210.627,-2485352.924,0.0,0.0,273.15000000000003,5.163681258400366,3.599999972752171,3.599999972752171
5132548382832000000,2202176.215,-5445210.627,-2485352.924,0.0,0.0,273.15000000000003,5.1811345509203095,4.600000040871756,4.600000040871756
5132675895024000000,2202176.215,-5445210.627,-2485352.924,0.0,0.0,273.15000000000003,5.535187056324873,3.4857142993381998,3.4857142993381998
5132682255840000000,2202176.215,-5445210.627,-2485352.924,0.0,0.0,273.15000000000003,5.624946846427441,3.1857142789023287,3.1857142789023287
5132717290176000000,2202176.215,-5445210.627,-2485352.924,0.0,0.0,273.15000000000003,5.350680821114045,4.0285714694432,4.0285714694432
5132758485360000000,2202176.215,-5445210.627,-2485352.924,0.0,0.0,273.15000000000003,4.901881870601216,8.385714462825227,8.385714462825227
5132768447472000000,2202176.215,-5445210.627,-2485352.924,0.0,0.0,273.15000000000003,4.866975285561331,7.2428571837288995,7.2428571837288995
5132838833232000000,2202176.215,-5445210.627,-2485352.924,0.0,0.0,273.15000000000003,5.196094515937404,7.671428680419928,7.671428680419928
5132852334960000000,2202176.215,-5445210.627,-2485352.924,0.0,0.0,273.15000000000003,5.303307598559913,8.028571469443197,8.028571469443197
5133025552320000000,2202176.215,-5445210.627,-2485352.924,0.0,0.0,273.15000000000003,4.834562028024293,6.471428530556801,6.471428530556801
5133063553488000000,2202176.215,-5445210.627,-2485352.924,0.0,0.0,273.15000000000003,5.25842770350863,9.942857061113626,9.942857061113626
5133113744016000000,2202176.215,-5445210.627,-2485352.924,0.0,0.0,273.15000000000003,5.0988547433262905,10.671428544180742,10.671428544180742
5133156007344000000,2202176.215,-5445210.627,-2485352.924,0.0,0.0,273.15000000000003,5.405534026176723,7.514285768781399,7.514285768781399
5133248653920000000,2202176.215,-5445210.627,-2485352.924,0.0,0.0,273.15000000000003,5.014081608229424,7.185714312962115,7.185714312962115
5133266906784000000,2202176.215,-5445210.627,-2485352.924,0.0,0.0,273.15000000000003,5.0365215557550655,9.82857131958001,9.82857131958001
5133287357040000000,2202176.215,-5445210.627,-2485352.924,0.0,0.0,273.15000000000003,4.959228403166746,5.199999945504316,5.199999945504316
5133355986816000000,2202176.215,-5445210.627,-2485352.924,0.0,0.0,273.15000000000003,5.006601625720877,7.2428571156093,7.2428571156093
5133408486480000000,2202176.215,-5445210.627,-2485352.924,0.0,0.0,273.15000000000003,5.550147021341966,3.8285714217594715,3.8285714217594715
5133422873328000000,2202176.215,-5445210.627,-2485352.924,0.0,0.0,273.15000000000003,5.363147458628289,7.671428612300327,7.671428612300327
5133435746544000000,2202176.215,-5445210.627,-2485352.924,0.0,0.0,273.15000000000003,5.280867651034272,7.7714285169329,7.7714285169329
5133451344912000000,2202176.215,-5445210.627,-2485352.924,0.0,0.0,273.15000000000003,4.916841835618312,5.085714340209972,5.085714340209972
