time,uid,antname,padname,statnum,poserrX,poserrY,poserrZ,poserr()X,poserr()Y,poserr()Z,newposX,newposY,newposZ,geoerrX,geoerrY,geoerrZ,geoposX,geoposY,geoposZ,delayrms
5132717290176000000,uid___A002_Xede40d_X44f3,DA49,A125,Station_7,0.000221,-0.00043799999999999997,-0.000364,6.4e-05,9.6e-05,0.000296,8.8e-05,0.000337,7.497997,1.3000000000000001e-05,0.000551,-0.000262,2223799.9332689997,-5440242.374229,-2482324.997777,0.55
5132758485360000000,uid___A002_Xede40d_X5571,DA49,A125,Station_7,-0.000271,-0.000679,0.000816,7.5e-05,7.7e-05,0.000213,-0.000404,9.6e-05,7.499177,-6.7e-05,-0.000554,-0.0009429999999999999,2223799.933189,-5440242.374229,-2482324.997777,0.33
5132768447472000000,uid___A002_Xede40d_X5d37,DA49,A125,Station_7,-8.2e-05,0.000472,-0.002512,0.000277,0.000301,0.000992,-0.000215,0.001247,7.495849000000001,-0.0008820000000000001,0.001941,0.0014119999999999998,2223799.932374,-5440242.374229,-2482324.997777,1.94
5132838833232000000,uid___A002_Xede40d_X886f,DA49,A125,Station_8,5.5e-05,8.8e-05,-0.0011480000000000001,0.00040300000000000004,0.000339,0.0012490000000000001,-7.8e-05,0.000863,7.497213,-0.000336,0.000968,0.0005269999999999999,2223799.93292,-5440242.374229,-2482324.997777,2.02
5132852334960000000,uid___A002_Xede40d_X9662,DA49,A125,Station_8,-0.000164,-0.00043799999999999997,0.0009720000000000001,0.00011,0.000121,0.000682,-0.000297,0.000337,7.499333,0.000122,-0.000733,-0.000782,2223799.933378,-5440242.374229,-2482324.997777,1.06
5133025552320000000,uid___A002_Xee01ae_X372,DA49,A125,Station_8,-0.000192,-0.000307,0.001326,0.00014199999999999998,0.000148,0.000773,-0.000325,0.000468,7.499687,0.000239,-0.001093,-0.000799,2223799.933495,-5440242.374229,-2482324.997777,1.31
5133063553488000000,uid___A002_Xee01ae_X1377,DA49,A125,Station_8,0.000492,0.000122,0.000126,0.00011499999999999999,0.000136,0.00047300000000000006,0.000359,0.000897,7.498487,0.000517,3.5e-05,6.3e-05,2223799.933773,-5440242.374229,-2482324.997777,0.84
5133113744016000000,uid___A002_Xee01ae_X2220,DA49,A125,Station_8,0.00037999999999999997,-0.00073,0.0005780000000000001,0.00011,0.000124,0.000383,0.00024700000000000004,4.5e-05,7.498939,0.000446,-8.6e-05,-0.000897,2223799.933702,-5440242.374229,-2482324.997777,0.76
5133156007344000000,uid___A002_Xee01ae_X48ab,DA49,A125,Station_8,0.000436,-0.000551,0.00018899999999999999,2.9999999999999997e-05,3.2e-05,0.00011999999999999999,0.000303,0.00022400000000000002,7.49855,0.000389,0.000202,-0.0005809999999999999,2223799.933645,-5440242.374229,-2482324.997777,0.2
5133248653920000000,uid___A002_Xee1748_X2897,DA49,A125,Station_8,2.5e-05,-0.000226,-0.000295,5.6000000000000006e-05,4.2e-05,0.00018,-0.00010800000000000001,0.000549,7.498066000000001,-0.000113,0.000342,-9.300000000000001e-05,2223799.933143,-5440242.374229,-2482324.997777,0.37
5133266906784000000,uid___A002_Xee1eb6_X74a,DA49,A125,Station_8,-0.000156,-0.0005650000000000001,-0.000605,0.00023999999999999998,0.00021600000000000002,0.000691,-0.00028900000000000003,0.00021,7.497756,-0.00043799999999999997,0.000661,-0.000285,2223799.932818,-5440242.374229,-2482324.997777,1.31
5133287357040000000,uid___A002_Xee1eb6_X1864,DA49,A125,Station_8,-0.000251,-7.8e-05,-0.000275,6.500000000000001e-05,7.8e-05,0.000261,-0.000384,0.000697,7.498086,-0.00033999999999999997,0.000168,3.5e-05,2223799.932916,-5440242.374229,-2482324.997777,0.49
5133355986816000000,uid___A002_Xee1eb6_X52fb,DA49,A125,Station_8,0.000128,-0.000202,0.000808,4.1e-05,3.1e-05,0.000134,-5e-06,0.000573,7.499169,0.00037,-0.0005679999999999999,-0.0005,2223799.933626,-5440242.374229,-2482324.997777,0.2
5133408486480000000,uid___A002_Xee1eb6_Xb4f8,DA49,A125,Station_8,-2.9999999999999997e-05,-0.000234,-0.000275,8.1e-05,9.2e-05,0.000333,-0.00016299999999999998,0.000541,7.498086,-0.00015800000000000002,0.000307,-0.00010800000000000001,2223799.933098,-5440242.374229,-2482324.997777,0.58
5133422873328000000,uid___A002_Xee1eb6_Xc2a1,DA49,A125,Station_6,0.00018700000000000002,-0.000388,-9e-05,6.1e-05,5.7999999999999994e-05,0.000239,5.4000000000000005e-05,0.00038700000000000003,7.498271000000001,8.499999999999999e-05,0.00028700000000000004,-0.000322,2223799.9333409998,-5440242.374229,-2482324.997777,0.48
5133435746544000000,uid___A002_Xee1eb6_Xcff0,DA49,A125,Station_7,0.000917,-0.000324,-0.0032479999999999996,0.000481,0.000927,0.002298,0.000784,0.00045099999999999996,7.495113000000001,-0.000331,0.0032340000000000003,0.000965,2223799.932925,-5440242.374229,-2482324.997777,4.84
5133451344912000000,uid___A002_Xee1eb6_Xdc89,DA49,A125,Station_8,-0.00011200000000000001,-0.001883,-0.000373,0.00022200000000000003,0.000337,0.0012289999999999998,-0.000245,-0.001108,7.497988,-0.0005110000000000001,0.0009539999999999999,-0.0015890000000000001,2223799.932745,-5440242.374229,-2482324.997777,1.97
