time,geoposX,geoposY,geoposZ,pressure,relHum,temp,windDir,windSpeed,windMax
5131848671952000000,2225008.773,-5440202.705,-2481447.213,55662.44419642842,4.4200141770499135,269.3291428838457,5.689773361501515,8.071428707667728,8.071428707667728
5131925433984000000,2225008.773,-5440202.705,-2481447.213,55791.26499720985,6.916685717446471,270.3637714454106,5.714706636530003,5.114285741533557,5.114285741533557
5132143143312000000,2225008.773,-5440202.705,-2481447.213,55763.64833286828,20.162328720092574,271.86894286360064,4.3184432349345405,6.457142898014627,6.457142898014627
5132203505472000000,2225008.773,-5440202.705,-2481447.213,55794.27577427472,7.92078569957187,269.19752853938513,5.23349442848014,3.9714285986764133,3.9714285986764133
5132249410896000000,2225008.773,-5440202.705,-2481447.213,55766.88494001129,17.543828691755,268.43131423677715,5.72717327404425,3.571428571428572,3.571428571428572
5132305246032000000,2225008.773,-5440202.705,-2481447.213,55624.293736049,25.48998560224257,269.5194285324642,5.031534900749368,14.085714340210002,14.085714340210002
5132333981904000000,2225008.773,-5440202.705,-2481447.213,55585.65063476557,34.32548413957857,264.87692857469835,4.71488230788754,6.3714285578046574,6.3714285578046574
5132390259408000000,2225008.773,-5440202.705,-2481447.213,55572.82540457602,7.681071485791884,271.9992428745541,1.530903086749312,3.1142856734139714,3.1142856734139714
5132401964928000000,2225008.773,-5440202.705,-2481447.213,55497.918701171846,14.805785724095145,272.3070571405547,5.0838947783091974,4.785714217594687,4.785714217594687
5132420235120000000,2225008.773,-5440202.705,-2481447.213,55530.754743303565,14.855228696550714,268.26707142421174,0.9848643636253716,2.4857142993382,2.4857142993382
5132443327248000000,2225008.773,-5440202.705,-2481447.213,55492.89725167414,10.67521435873843,268.2200855936323,4.8420420105328414,2.1000000068119573,2.1000000068119573
5132460615456000000,2225008.773,-5440202.705,-2481447.213,55505.391148158415,8.014814308711474,266.10030001231604,5.442933938719459,2.7428571156093144,2.7428571156093144
5132476354992000000,2225008.773,-5440202.705,-2481447.213,55620.23315429699,9.585185868399444,271.2494713817324,4.837055355527141,5.685714312962128,5.685714312962128
5132494331760000000,2225008.773,-5440202.705,-2481447.213,55537.730189732145,16.451585497174996,270.0024143355233,4.914348508115461,7.2857142857142865,7.2857142857142865
5132511239040000000,2225008.773,-5440202.705,-2481447.213,55603.17993164071,24.522385733468145,267.0633143424988,5.385587406153932,1.9285714285714144,1.9285714285714144
5132548382832000000,2225008.773,-5440202.705,-2481447.213,55570.27587890629,7.5973856789725005,264.7938000542776,5.46786721374795,3.714285680225928,3.714285680225928
5132675895024000000,2225008.773,-5440202.705,-2481447.213,55548.46017020085,13.388485499790713,270.9268714427948,5.757093204078437,4.628571374075743,4.628571374075743
5132682255840000000,2225008.773,-5440202.705,-2481447.213,55579.76946149543,6.1806286403111,270.8989857333047,5.851839649186702,5.171428612300329,5.171428612300329
5132717290176000000,2225008.773,-5440202.705,-2481447.213,55543.91305106044,12.031542914254286,266.95652863638736,5.525213746313477,3.4285714285714284,3.4285714285714284
5132758485360000000,2225008.773,-5440202.705,-2481447.213,55544.885253906425,25.32998575483029,270.13942855426245,4.737322255413179,8.814285823277043,8.814285823277043
5132768447472000000,2225008.773,-5440202.705,-2481447.213,55596.71282087057,25.023013796125287,269.22625716073173,4.757268875435972,6.771428585052487,6.771428585052487
5132838833232000000,2225008.773,-5440202.705,-2481447.213,55569.74923270086,65.90488542829243,268.08075711386545,5.268401013520026,7.485714299338199,7.485714299338199
5132852334960000000,2225008.773,-5440202.705,-2481447.213,55632.119315011,70.91127123151486,267.05851429530554,5.592533588890403,8.414285796029228,8.414285796029228
5133025552320000000,2225008.773,-5440202.705,-2481447.213,55394.648088727714,68.47107151576458,264.4930143083845,5.029041573246518,5.114285741533543,5.114285741533543
5133063553488000000,2225008.773,-5440202.705,-2481447.213,55271.26639229901,30.814114706856856,262.1381428309848,5.368134113633987,7.714285782405328,7.714285782405328
5133113744016000000,2225008.773,-5440202.705,-2481447.213,55239.49672154013,75.14572688511444,262.8500000817434,5.136254655869028,10.157142775399256,10.157142775399256
5133156007344000000,2225008.773,-5440202.705,-2481447.213,55366.41322544629,11.940571512494714,263.8303429467337,5.7171999640328535,7.742857115609313,7.742857115609313
5133248653920000000,2225008.773,-5440202.705,-2481447.213,55577.783203125,6.6650285720825275,269.0194285665239,5.1811345509203095,8.585714340209941,8.585714340209941
5133266906784000000,2225008.773,-5440202.705,-2481447.213,55503.078787667284,11.687028612409284,269.6275714193072,4.832068700521445,12.5,12.5
5133287357040000000,2225008.773,-5440202.705,-2481447.213,55644.72220284586,33.247870853969005,264.8758855955941,5.026548245743669,3.2285714149475138,3.2285714149475138
5133355986816000000,2225008.773,-5440202.705,-2481447.213,55591.88406808042,9.347943033490859,271.8100571359907,4.976681695686689,8.385714258466486,8.385714258466486
5133408486480000000,2225008.773,-5440202.705,-2481447.213,55555.45654296887,5.009142875671387,267.82249999727526,5.809453081638267,6.371428694043843,6.371428694043843
5133422873328000000,2225008.773,-5440202.705,-2481447.213,55660.99417550229,5.461157117571172,271.8455571685518,5.335720856096952,7.742857183728871,7.742857183728871
5133435746544000000,2225008.773,-5440202.705,-2481447.213,55513.76691545743,7.9997284752982,271.4671428442001,5.108828053337687,8.785714285714272,8.785714285714272
5133451344912000000,2225008.773,-5440202.705,-2481447.213,55530.54635184129,19.710300173078284,268.6020713942391,4.757268875435972,4.142857074737528,4.142857074737528
