time,uid,antname,padname,statnum,poserrX,poserrY,poserrZ,poserr()X,poserr()Y,poserr()Z,newposX,newposY,newposZ,geoerrX,geoerrY,geoerrZ,geoposX,geoposY,geoposZ,delayrms
5131848671952000000,uid___A002_Xed4607_X13266,DV12,A120,Station_34,0.000801,8.3e-05,-0.0008359999999999999,4.2e-05,7.8e-05,0.00019099999999999998,-0.000251,6.4e-05,6.9999009999999995,0.000462,0.000987,0.00040199999999999996,2224233.56262,-5439963.33682,-2482603.337877,0.38
5131925433984000000,uid___A002_Xed8123_X1b10,DV12,A120,Station_31,0.0013130000000000001,7.099999999999999e-05,-0.000629,2.8999999999999997e-05,3.4e-05,0.000293,0.000261,5.2000000000000004e-05,7.000108,0.001006,0.001008,0.00031,2224233.563164,-5439963.33682,-2482603.337877,0.28
5132143143312000000,uid___A002_Xed9025_X637c,DV12,A120,Station_28,0.001224,-0.00031099999999999997,-0.0008289999999999999,2.8000000000000003e-05,7.4e-05,0.000152,0.000172,-0.00033,6.9999080000000005,0.000799,0.001282,3.6e-05,2224233.562957,-5439963.33682,-2482603.337877,0.3
5132203505472000000,uid___A002_Xed9025_X9c7d,DV12,A120,Station_32,0.00037799999999999997,-0.00046699999999999997,-0.0013460000000000002,5e-05,4.9e-05,0.000165,-0.000674,-0.00048600000000000005,6.999391,-0.000188,0.001459,9.4e-05,2224233.56197,-5439963.33682,-2482603.337877,0.31
5132249410896000000,uid___A002_Xed9025_Xad36,DV12,A120,Station_30,0.000376,-6.3e-05,-0.000368,4.7e-05,5e-05,0.000299,-0.000676,-8.2e-05,7.000369,0.00021,0.000479,8.499999999999999e-05,2224233.562368,-5439963.33682,-2482603.337877,0.45
5132305246032000000,uid___A002_Xed9025_Xe99c,DV12,A120,Station_26,0.000796,-0.000515,-0.000904,8.7e-05,4.4e-05,0.000362,-0.000256,-0.000534,6.999833,0.000346,0.001257,-0.000122,2224233.562504,-5439963.33682,-2482603.337877,0.48
5132333981904000000,uid___A002_Xedbc85_X54a,DV12,A120,Station_31,0.0009539999999999999,-0.0006360000000000001,-0.000155,6.6e-05,6.6e-05,0.000337,-9.8e-05,-0.000655,7.0005820000000005,0.000735,0.000722,-0.000526,2224233.562893,-5439963.33682,-2482603.337877,0.56
5132390259408000000,uid___A002_Xedbc85_X451e,DV12,A120,Station_25,0.0008300000000000001,-0.000346,-0.000413,0.00021,0.000157,0.000975,-0.00022200000000000003,-0.000365,7.000324000000001,0.0005740000000000001,0.000791,-0.00015900000000000002,2224233.562732,-5439963.33682,-2482603.337877,1.5
5132401964928000000,uid___A002_Xedbc85_X4f15,DV12,A120,Station_25,0.000877,-0.000295,7.900000000000001e-05,2.2e-05,5.2000000000000004e-05,0.00013000000000000002,-0.000175,-0.000314,7.000816,0.000796,0.000371,-0.000302,2224233.562954,-5439963.33682,-2482603.337877,0.25
5132420235120000000,uid___A002_Xedbc85_X6057,DV12,A120,Station_30,0.0008320000000000001,-0.00042,-0.000184,3.7e-05,2.8000000000000003e-05,0.000174,-0.00022,-0.000439,7.000553,0.000644,0.0006230000000000001,-0.000315,2224233.562802,-5439963.33682,-2482603.337877,0.27
